NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES
Thor The Party World,500,"['North Indian', 'Chinese', 'Italian']",Agra,Tajganj,https://www.zomato.com/agra/thor-the-party-world-2-tajganj/info,Lounge,4.0,44.0
Jai Jhulelal Patties Corner,100,['Fast Food'],Agra,Shahganj,https://www.zomato.com/agra/jai-jhulelal-patties-corner-shahganj/info,Quick Bites,3.6,24.0
Shubham Restaurant,500,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",Agra,Arjun Nagar,https://www.zomato.com/agra/shubham-restaurant-arjun-nagar/info,Casual Dining,2.8,29.0
Pizza Pasta Corner,250,['Pizza'],Agra,Shahganj,https://www.zomato.com/agra/pizza-pasta-corner-shahganj/info,Quick Bites,3.3,9.0
Brownee,100,['Fast Food'],Agra,Kamla Nagar,https://www.zomato.com/agra/brownee-kamla-nagar/info,Quick Bites,3.3,25.0
Vaishno Bhalla House,200,['Fast Food'],Agra,Rakabganj,https://www.zomato.com/agra/vaishno-bhalla-house-rakabganj/info,Quick Bites,3.4,20.0
Aastha Family Dhaba,350,['North Indian'],Agra,Tajganj,https://www.zomato.com/agra/aastha-family-dhaba-tajganj/info,Quick Bites,3.2,7.0
Me & My Choice,500,['Fast Food'],Agra,Shahganj,https://www.zomato.com/agra/me-my-choice-shahganj/info,Quick Bites,3.4,11.0
AJ's Cafe & Bakery,300,['Cafe'],Agra,Agra Cantt,https://www.zomato.com/agra/ajs-cafe-bakery-agra-cantt/info,Café,2.8,21.0
Moti Mahal Restaurant,800,"['North Indian', 'Chinese', 'Continental']",Agra,Tajganj,https://www.zomato.com/agra/moti-mahal-restaurant-tajganj/info,Casual Dining,3.0,15.0
Djlecious By Divya,400,['Bakery'],Agra,Mantola,https://www.zomato.com/agra/djlecious-by-divya-mantola/info,Unknown,0.0,0.0
Bazaar Cafe,400,['Cafe'],Agra,Sikandra,https://www.zomato.com/agra/bazaar-cafe-sikandra/info,Café,3.4,7.0
Royals Cafe Corner Restaurant,700,"['Cafe', 'North Indian', 'Chinese', 'Continental']",Agra,Tajganj,https://www.zomato.com/agra/royals-cafe-corner-restaurant-tajganj/info,Café,3.2,22.0
Choki Dhani - Rajasthani Bhojnalya,200,"['Rajasthani', 'North Indian']",Agra,Sikandra,https://www.zomato.com/agra/choki-dhani-rajasthani-bhojnalya-sikandra/info,Quick Bites,3.1,8.0
Ravi Fast Food,200,['Fast Food'],Agra,Civil Lines,https://www.zomato.com/agra/ravi-fast-food-civil-lines/info,Quick Bites,3.6,21.0
Food Factory,100,['Fast Food'],Agra,Sikandra,https://www.zomato.com/agra/food-factory-sikandra/info,Quick Bites,0.0,0.0
Biryani Point,150,['Biryani'],Agra,Shahganj,https://www.zomato.com/agra/biryani-point-shahganj/info,Quick Bites,0.0,0.0
Freshop,200,['Fast Food'],Agra,Civil Lines,https://www.zomato.com/agra/freshop-1-civil-lines/info,Quick Bites,3.4,12.0
Ceezak Food Corner,350,"['Chinese', 'Fast Food']",Agra,Arjun Nagar,https://www.zomato.com/agra/ceezak-food-corner-arjun-nagar/info,Quick Bites,3.3,17.0
China Town,200,['Fast Food'],Agra,Shahganj,https://www.zomato.com/agra/china-town-shahganj/info,Quick Bites,3.3,8.0
New Chetna Store Patties Hub,100,['Fast Food'],Agra,Civil Lines,https://www.zomato.com/agra/new-chetna-store-patties-hub-civil-lines/info,Quick Bites,3.4,16.0
Burgero,400,"['Burger', 'Fast Food']",Agra,Shahganj,https://www.zomato.com/agra/burgero-shahganj/info,Quick Bites,2.8,18.0
Sri Balaji Restaurant,500,"['South Indian', 'North Indian', 'Beverages']",Agra,Tajganj,https://www.zomato.com/agra/sri-balaji-restaurant-tajganj/info,Casual Dining,3.4,14.0
Freaky Burger,200,['Burger'],Agra,Rakabganj,https://www.zomato.com/agra/freaky-burger-rakabganj/info,Quick Bites,3.1,9.0
Sanjay Food Corner,100,['North Indian'],Agra,Sikandra,https://www.zomato.com/agra/sanjay-food-corner-sikandra/info,Quick Bites,3.2,6.0
Punjabi Tadka,100,"['Fast Food', 'North Indian']",Agra,Sikandra,https://www.zomato.com/agra/punjabi-tadka-1-sikandra/info,Quick Bites,3.3,8.0
Thug Truck,150,"['Fast Food', 'Chinese']",Agra,Khandari,https://www.zomato.com/agra/thug-truck-khandari/info,Food Truck,3.4,13.0
Shri Radhay Chaat Bhandar,150,['Fast Food'],Agra,Kamla Nagar,https://www.zomato.com/agra/shri-radhay-chaat-bhandar-kamla-nagar/info,Unknown,3.4,11.0
the bollywood fries,200,['Fast Food'],Agra,Kamla Nagar,https://www.zomato.com/agra/the-bollywood-fries-1-kamla-nagar/info,Quick Bites,3.2,5.0
